"Condition","Group","Organ","Query","Celltype","predicted_cell_type","match","explanation"
"Organ","Large Intestine","Digestive","query","gut endothelial cell","Endothelial Cell","Partial Match","Predicted cell type is a generalization of the specific annotated cell type."
"All","Large Intestine","Digestive","noquery","intestinal crypt stem cell of large intestine","Can't Identify","No Match","Predicted cell type doesn't correspond to any identifiable cell type."
"All","Large Intestine","Digestive","query","intestinal crypt stem cell of large intestine","Can't Identify","No Match","Predicted cell type doesn't correspond to any identifiable cell type."
"Group","Large Intestine","Digestive","noquery","intestinal crypt stem cell of large intestine","Can't Identify","No Match","Predicted cell type doesn't correspond to any identifiable cell type."
"Group","Large Intestine","Digestive","query","intestinal crypt stem cell of large intestine","Can't Identify","No Match","Predicted cell type doesn't correspond to any identifiable cell type."
"Organ","Large Intestine","Digestive","noquery","intestinal crypt stem cell of large intestine","Can't Identify","No Match","Predicted cell type doesn't correspond to any identifiable cell type."
"Organ","Large Intestine","Digestive","query","intestinal crypt stem cell of large intestine","Can't Identify","No Match","Predicted cell type doesn't correspond to any identifiable cell type."
"All","Large Intestine","Digestive","noquery","intestinal enteroendocrine cell","Enteroendocrine Cells","Match","Both refer to enteroendocrine cells despite slight terminological variance."
"All","Large Intestine","Digestive","query","intestinal enteroendocrine cell","Enteroendocrine Cells","Match","Both refer to enteroendocrine cells despite slight terminological variance."
"Group","Large Intestine","Digestive","noquery","intestinal enteroendocrine cell","Can't Identify","No Match","Prediction did not identify the cell type."
"Group","Large Intestine","Digestive","query","intestinal enteroendocrine cell","Can't Identify","No Match","Prediction did not identify the cell type."
"Organ","Large Intestine","Digestive","noquery","intestinal enteroendocrine cell","Can't Identify","No Match","Prediction did not identify the cell type."
"Organ","Large Intestine","Digestive","query","intestinal enteroendocrine cell","Can't Identify","No Match","Prediction did not identify the cell type."
"All","Large Intestine","Digestive","noquery","immature enterocyte","Enterocyte","Partial Match","Enterocyte is a broad category, while immature enterocyte is a specific state."
"All","Large Intestine","Digestive","query","immature enterocyte","Goblet Cell","No Match","Goblet Cell is a distinct cell type unrelated to immature enterocytes."
"Group","Large Intestine","Digestive","noquery","immature enterocyte","Can't Identify","No Match","Prediction did not identify the cell type."
"Group","Large Intestine","Digestive","query","immature enterocyte","Can't Identify","No Match","Prediction did not identify the cell type."
"Organ","Large Intestine","Digestive","noquery","immature enterocyte","Can't Identify","No Match","Prediction fails to identify an immature enterocyte."
"Organ","Large Intestine","Digestive","query","immature enterocyte","Can't Identify","No Match","Prediction fails to identify an immature enterocyte."
"All","Large Intestine","Digestive","noquery","intestinal crypt stem cell","Stem Cell","Partial Match","Stem cell is a broader category that includes intestinal crypts."
"All","Large Intestine","Digestive","query","intestinal crypt stem cell","Stem Cell","Partial Match","Stem cell is a broader category that includes intestinal crypts."
"Group","Large Intestine","Digestive","noquery","intestinal crypt stem cell","Can't Identify","No Match","Prediction fails to identify any type of stem cell."
"Group","Large Intestine","Digestive","query","intestinal crypt stem cell","Can't Identify","No Match","Prediction fails to identify any type of stem cell."
"Organ","Large Intestine","Digestive","noquery","intestinal crypt stem cell","Enterocyte","No Match","Enterocytes are differentiated cells, not stem cells."
"Organ","Large Intestine","Digestive","query","intestinal crypt stem cell","Enterocyte","No Match","Enterocytes are differentiated cells, not stem cells."
"All","Large Intestine","Digestive","noquery","mature enterocyte","Can't Identify","No Match","Prediction fails to identify a mature enterocyte."
"All","Large Intestine","Digestive","query","mature enterocyte","Can't Identify","No Match","Prediction fails to identify a mature enterocyte."
"Group","Large Intestine","Digestive","noquery","mature enterocyte","Can't Identify","No Match","The prediction did not specify any related cell type."
"Group","Large Intestine","Digestive","query","mature enterocyte","Can't Identify","No Match","The prediction did not specify any related cell type."
"Organ","Large Intestine","Digestive","noquery","mature enterocyte","Can't Identify","No Match","The prediction did not specify any related cell type."
"Organ","Large Intestine","Digestive","query","mature enterocyte","Can't Identify","No Match","The prediction did not specify any related cell type."
"All","Large Intestine","Digestive","noquery","goblet cell","Goblet Cell","Match","The prediction accurately corresponds with the annotated cell type."
"All","Large Intestine","Digestive","query","goblet cell","Goblet Cell","Match","The prediction accurately corresponds with the annotated cell type."
"Group","Large Intestine","Digestive","noquery","goblet cell","Can't Identify","No Match","The prediction did not specify any related cell type."
"Group","Large Intestine","Digestive","query","goblet cell","Can't Identify","No Match","The prediction did not specify any related cell type."
"Organ","Large Intestine","Digestive","noquery","goblet cell","Can't Identify","No Match","The prediction did not specify any related cell type."
"Organ","Large Intestine","Digestive","query","goblet cell","Can't Identify","No Match","The prediction did not specify any related cell type."
"All","Small Intestine","Digestive","noquery","cd4-positive, alpha-beta t cell","Enterocyte","No Match","CD4-positive T cells and enterocytes are distinct cell types with different functions."
"All","Small Intestine","Digestive","query","cd4-positive, alpha-beta t cell","Enterocyte","No Match","CD4-positive T cells and enterocytes are distinct cell types with different functions."
"Group","Small Intestine","Digestive","noquery","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or partially match the annotated cell type."
"Group","Small Intestine","Digestive","query","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or partially match the annotated cell type."
"Organ","Small Intestine","Digestive","noquery","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or partially match the annotated cell type."
"Organ","Small Intestine","Digestive","query","cd4-positive, alpha-beta t cell","Can't Identify","No Match","The prediction does not identify or partially match the annotated cell type."
"All","Small Intestine","Digestive","noquery","enterocyte of epithelium of small intestine","Enterocyte","Match","Enterocyte in both contexts refers to the same type of epithelial cell."
"All","Small Intestine","Digestive","query","enterocyte of epithelium of small intestine","Enterocyte","Match","Enterocyte in both contexts refers to the same type of epithelial cell."
"Group","Small Intestine","Digestive","noquery","enterocyte of epithelium of small intestine","Can't Identify","No Match","The prediction does not identify or partially match the annotated cell type."
"Group","Small Intestine","Digestive","query","enterocyte of epithelium of small intestine","Can't Identify","No Match","The prediction does not identify or partially match the annotated cell type."
"Organ","Small Intestine","Digestive","noquery","enterocyte of epithelium of small intestine","Can't Identify","No Match","""Can't Identify"" doesn't correspond to any specific cell type."
